,Date,Open,High,Low,Close,Adj Close,Volume,PreviousDayClosingPrice,ClosingPriceChange,ClosePricePercentChange,PreviousDayVolume,VolumeChange,VolumePercentChange
0,1997-05-15,0.1218750029802322,0.125,0.0963540002703666,0.0979169979691505,0.0979169979691505,1443120000,,,,,,
1,1997-05-16,0.0984380021691322,0.0989580005407333,0.0854170024394989,0.0864579975605011,0.0864579975605011,294000000,0.0979169979691505,-0.011459000408649403,-0.1170276933148997,1443120000.0,-1149120000.0,-0.7962747380675204
2,1997-05-19,0.0880210027098655,0.0885419994592666,0.0812499970197677,0.0854170024394989,0.0854170024394989,122136000,0.0864579975605011,-0.0010409951210021973,-0.012040472256759527,294000000.0,-171864000.0,-0.5845714285714285
3,1997-05-20,0.0864579975605011,0.0874999985098838,0.0817710012197494,0.0817710012197494,0.0817710012197494,109344000,0.0854170024394989,-0.003646001219749506,-0.0426847245351647,122136000.0,-12792000.0,-0.10473570446060132
4,1997-05-21,0.0817710012197494,0.0822919979691505,0.0687500014901161,0.0713540017604827,0.0713540017604827,377064000,0.0817710012197494,-0.01041699945926669,-0.12739234329872395,109344000.0,267720000.0,2.4484196663740123
5,1997-05-22,0.0718749985098838,0.0723960027098655,0.0656249970197677,0.0697920024394989,0.0697920024394989,235536000,0.0713540017604827,-0.0015619993209838035,-0.021890843995366116,377064000.0,-141528000.0,-0.3753421169880975
6,1997-05-23,0.0703129991889,0.0760419964790344,0.0666669979691505,0.0750000029802322,0.0750000029802322,318744000,0.0697920024394989,0.005208000540733296,0.07462173828939767,235536000.0,83208000.0,0.3532708375789688
7,1997-05-27,0.0755209997296333,0.0822919979691505,0.0729169994592666,0.0791670009493827,0.0791670009493827,173952000,0.0750000029802322,0.004166997969150502,0.05555997071425178,318744000.0,-144792000.0,-0.4542579625028236
8,1997-05-28,0.0812499970197677,0.0817710012197494,0.0765630006790161,0.0765630006790161,0.0765630006790161,91488000,0.0791670009493827,-0.0026040002703665993,-0.0328924961049305,173952000.0,-82464000.0,-0.4740618101545254
9,1997-05-29,0.0770829990506172,0.0770829990506172,0.0739580020308494,0.0752599984407424,0.0752599984407424,69456000,0.0765630006790161,-0.0013030022382737039,-0.01701869345137652,91488000.0,-22032000.0,-0.24081846799580275
10,1997-05-30,0.0750000029802322,0.0755209997296333,0.0739580020308494,0.0750000029802322,0.0750000029802322,51888000,0.0752599984407424,-0.0002599954605101984,-0.003454630160734218,69456000.0,-17568000.0,-0.25293711126468554
11,1997-06-02,0.0755209997296333,0.0765630006790161,0.0750000029802322,0.0755209997296333,0.0755209997296333,11832000,0.0750000029802322,0.0005209967494011064,0.006946623049314038,51888000.0,-40056000.0,-0.7719703977798335
12,1997-06-03,0.0765630006790161,0.0765630006790161,0.0739580020308494,0.0739580020308494,0.0739580020308494,23664000,0.0755209997296333,-0.0015629976987839023,-0.020696199790514735,11832000.0,11832000.0,1.0
13,1997-06-04,0.0739580020308494,0.0744789987802505,0.0697920024394989,0.0708329975605011,0.0708329975605011,61608000,0.0739580020308494,-0.0031250044703483026,-0.04225377085017523,23664000.0,37944000.0,1.603448275862069
14,1997-06-05,0.0708329975605011,0.0770829990506172,0.0687500014901161,0.0770829990506172,0.0770829990506172,113448000,0.0708329975605011,0.0062500014901161055,0.08823573342039848,61608000.0,51840000.0,0.8414491624464355
15,1997-06-06,0.0757810026407241,0.0854170024394989,0.0755209997296333,0.0828130021691322,0.0828130021691322,156144000,0.0770829990506172,0.005730003118515001,0.07433549795788741,113448000.0,42696000.0,0.37634863549820174
16,1997-06-09,0.0828130021691322,0.0854170024394989,0.0828130021691322,0.0843750014901161,0.0843750014901161,47040000,0.0828130021691322,0.0015619993209839006,0.018861764216611343,156144000.0,-109104000.0,-0.6987396249615739
17,1997-06-10,0.0854170024394989,0.0854170024394989,0.0765630006790161,0.0791670009493827,0.0791670009493827,109176000,0.0843750014901161,-0.005208000540733407,-0.0617244497630437,47040000.0,62136000.0,1.320918367346939
18,1997-06-11,0.0796879976987838,0.0802080035209655,0.0765630006790161,0.0770829990506172,0.0770829990506172,23760000,0.0791670009493827,-0.0020840018987654946,-0.026324123356623708,109176000.0,-85416000.0,-0.7823697515937569
19,1997-06-12,0.0791670009493827,0.0822919979691505,0.0776040032505989,0.0802080035209655,0.0802080035209655,32640000,0.0770829990506172,0.0031250044703483026,0.040540774345017905,23760000.0,8880000.0,0.3737373737373737
20,1997-06-13,0.0812499970197677,0.0812499970197677,0.0791670009493827,0.0791670009493827,0.0791670009493827,13872000,0.0802080035209655,-0.001041002571582808,-0.012978786728068847,32640000.0,-18768000.0,-0.575
21,1997-06-16,0.0802080035209655,0.0802080035209655,0.078125,0.078645996749401,0.078645996749401,18264000,0.0791670009493827,-0.0005210041999817033,-0.006581077895256082,13872000.0,4392000.0,0.31660899653979246
22,1997-06-17,0.0799480006098747,0.0799480006098747,0.0747400000691413,0.0752599984407424,0.0752599984407424,94128000,0.078645996749401,-0.0033859983086586,-0.04305366386858578,18264000.0,75864000.0,4.153745072273325
23,1997-06-18,0.0760419964790344,0.0768230035901069,0.0750000029802322,0.0755209997296333,0.0755209997296333,49296000,0.0752599984407424,0.000261001288890908,0.0034679948750784284,94128000.0,-44832000.0,-0.47628760836308004
24,1997-06-19,0.0755209997296333,0.0765630006790161,0.0750000029802322,0.0755209997296333,0.0755209997296333,20064000,0.0755209997296333,0.0,0.0,49296000.0,-29232000.0,-0.5929892891918208
25,1997-06-20,0.0765630006790161,0.0776040032505989,0.0750000029802322,0.0763019993901252,0.0763019993901252,67752000,0.0755209997296333,0.0007809996604919017,0.010341489960248085,20064000.0,47688000.0,2.376794258373206
