,topic,username,repo_name,repo_desc,stars,repo_url,tags
2,Ajax,olifolkerd,tabulator,Interactive Tables and Data Grids for JavaScript,5875,https://github.com/olifolkerd/tabulator,"['react', 'javascript', 'jquery', 'json', 'data', 'list', 'widget', 'grid', 'table', 'ajax', 'sort', 'cdnjs', 'grid-layout', 'grid-system', 'tabulator', 'tabulator-table']"
3,Ajax,developit,unfetch,🐕 Bare minimum 500b fetch polyfill.,5663,https://github.com/developit/unfetch,"['polyfill', 'fetch', 'xmlhttprequest', 'ajax', 'tiny', 'ponyfill', 'unfetch']"
4,Ajax,jquery-form,form,jQuery Form Plugin,5211,https://github.com/jquery-form/form,"['javascript', 'jquery', 'json', 'jquery-plugin', 'ajax', 'form', 'html-form', 'ajax-form', 'json-form', 'jquery-form', 'form-serialization']"
5,Ajax,Studio-42,elFinder,"📁 Open-source file manager for web, written in JavaScript using jQuery and jQuery UI",4522,https://github.com/Studio-42/elFinder,"['javascript', 'php', 'html5', 'filemanager', 'integration', 'jquery-ui', 'ajax', 'elfinder', '3rd-party-connectors']"
6,Ajax,elbywan,wretch,A tiny wrapper built around fetch with an intuitive syntax. 🍬,4316,https://github.com/elbywan/wretch,"['nodejs', 'javascript', 'fetch', 'http', 'json', 'typescript', 'promise', 'ajax', 'http-client', 'request', 'formdata', 'http-request']"
7,Ajax,dwyl,learn-to-send-email-via-google-script-html-no-server,"📧 An Example of using an HTML form (e.g: ""Contact Us"" on a website) to send Email without a Backend Server (using a Google Script) perfect for static websites that need to collect data.",3037,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,"['tutorial', 'howto', 'email', 'example', 'google-spreadsheet', 'ajax', 'form', 'static-site', 'html-form', 'no-server']"
8,Ajax,ded,reqwest,browser asynchronous http requests,2936,https://github.com/ded/reqwest,"['javascript', 'jquery', 'ajax', 'jsonp', 'reqwest']"
9,Ajax,wendux,ajax-hook,Intercepting browser's http requests which made by XMLHttpRequest.,2475,https://github.com/wendux/ajax-hook,"['hooks', 'ajax', 'ajax-hook', 'xmlhttprequest-hook']"
10,Ajax,LeaVerou,bliss,Blissful JavaScript,2381,https://github.com/LeaVerou/bliss,"['promises', 'events', 'dom', 'oop', 'ajax', 'es5']"
11,Ajax,noelboss,featherlight,"Featherlight is a very lightweight jQuery lightbox plugin. It's simple yet flexible and easy to use. Featherlight has minimal css and uses no inline styles, everything is name-spaced, it's completely customizable via config object and offers image, ajax and iframe support out of the box. Featherlights small footprint weights about 4kB – in total.",2074,https://github.com/noelboss/featherlight,"['javascript', 'jquery', 'minimal', 'lightbox', 'modals', 'ajax']"
12,Ajax,craftpip,jquery-confirm,"A multipurpose plugin for alert, confirm & dialog, with extended features.",1849,https://github.com/craftpip/jquery-confirm,"['jquery', 'jquery-plugin', 'alert', 'dialog', 'modals', 'ajax', 'popup', 'callback', 'confirm']"
13,Ajax,taoensso,sente,Realtime web comms for Clojure/Script applications,1719,https://github.com/taoensso/sente,"['transit', 'clojure', 'async', 'clojurescript', 'websockets', 'ajax', 'epl', 'edn', 'taoensso', 'http-kit']"
14,Ajax,nette,tracy,"😎 Tracy: the addictive tool to ease debugging PHP code for cool developers. Friendly design, logging, profiler, advanced features like debugging AJAX calls or CLI support. You will love it.",1699,https://github.com/nette/tracy,"['debugger', 'php', 'profiler', 'nette', 'nette-framework', 'ajax', 'error-handling', 'php-errors', 'tracy', 'dump-variables', 'dumper']"
15,Ajax,loadingio,css-spinner,"small, elegant pure css spinner for ajax or loading animation",1683,https://github.com/loadingio/css-spinner,"['css', 'html', 'loader', 'ajax', 'spinner', 'loading', 'icon', 'preloader']"
16,Ajax,k8w,tsrpc,"A TypeScript RPC framework, with runtime type checking and serialization, support both HTTP and WebSocket. It is very suitable for website / APP / games, and absolutely comfortable to full-stack TypeScript developers.",1680,https://github.com/k8w/tsrpc,"['nodejs', 'express', 'node', 'framework', 'typescript', 'protobuf', 'ajax', 'grpc', 'rpc', 'full-stack', 'axios', 'backend-framework', 'server-framework', 'nestjs', 'full-stack-development', 'full-stack-developer', 'runtime-type-checking', 'typescript-rpc-framework', 'serialization-algorithm', 'typescript-serialization']"
17,Ajax,joaomilho,Enterprise,🦄 The Enterprise™ programming language,1587,https://github.com/joaomilho/Enterprise,"['redux', 'docker', 'language', 'kubernetes', 'money', 'enterprise', 'data-science', 'cloud', 'crypto', 'progressive-web-app', 'jvm', 'quantum', 'ajax', 'artificial-intelligence', 'growth', 'enterprise-software', 'enterprise-services', 'disruptive-technology', 'enterprise-development']"
18,Ajax,codingforentrepreneurs,eCommerce,"We're going to take you step-by-step to build a modern, fully open-source, eCommerce web application using Python, Django, Bootstrap, Javascript, and more.",1472,https://github.com/codingforentrepreneurs/eCommerce,"['python', 'bootstrap', 'jquery', 'ecommerce', 'django', 'stripe', 'card', 'ajax', 'bootstrap4', 'lookup', 'mailchimp', 'jquery-ajax', 'python3-6', 'django1-11', 'custom-queryset', 'cart-model']"
19,Ajax,u014427391,jeeplatform,一款企业信息化开发基础平台，拟集成OA(办公自动化)、CMS(内容管理系统)等企业系统的通用业务功能 JeePlatform项目是一款以SpringBoot为核心框架，集ORM框架Mybatis，Web层框架SpringMVC和多种开源组件框架而成的一款通用基础平台，代码已经捐赠给开源中国社区,1408,https://github.com/u014427391/jeeplatform,"['jquery', 'redis', 'thymeleaf', 'solr', 'restful', 'ajax', 'zookeeper', 'poi', 'druid', 'freemarker', 'javaee', 'ssi', 'lucene', 'aop', 'springboot', 'mybatis', 'shiro', 'springmvc', 'activiti', 'dubbo']"
0,Algorithm,jwasham,coding-interview-university,A complete computer science study plan to become a software engineer.,274251,https://github.com/jwasham/coding-interview-university,"['computer-science', 'algorithm', 'algorithms', 'interview', 'data-structures', 'software-engineering', 'coding-interviews', 'study-plan', 'interview-prep', 'interview-preparation', 'coding-interview', 'programming-interviews']"
1,Algorithm,trekhleb,javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,178856,https://github.com/trekhleb/javascript-algorithms,"['javascript', 'computer-science', 'algorithm', 'algorithms', 'interview', 'data-structures', 'interview-preparation', 'javascript-algorithms']"
2,Algorithm,TheAlgorithms,Python,All Algorithms implemented in Python,174322,https://github.com/TheAlgorithms/Python,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']"
